199.44	3018.3
200.86	2744.3
202.28	2554.8
203.69	2390.5
205.11	2250.6
206.53	2161.5
207.95	2040.4
209.36	1947.1
210.78	1879.1
212.2	1808.8
213.62	1733.7
215.04	1741
216.45	1754.9
217.87	1797.8
219.29	1845.7
220.71	1951
222.12	2236.6
223.54	2558.3
224.96	2897.3
226.38	3234.8
227.79	3715.6
229.21	5355.5
230.63	12770
232.05	7457.4
233.46	4582.2
234.88	3878.6
236.3	3668.5
237.72	3308.7
239.14	2895.8
240.55	2489.7
241.97	2109.6
243.39	1808.6
244.81	1630.6
246.22	1495.2
247.64	1399.8
249.06	1318.7
250.48	1262.8
251.89	1238.2
253.31	1233.5
254.73	1169.9
256.15	1162.6
257.56	1162.5
258.98	1161.1
260.4	1173.3
261.82	1204.2
263.24	1242.6
264.65	1274.7
266.07	1280.7
267.49	1290.4
268.91	1399.9
270.32	1448.7
271.74	1560.7
273.16	1697.2
274.58	1844.5
275.99	2007.5
277.41	2216.7
278.83	2422.9
280.25	2549
281.66	2620.3
283.08	2657.9
284.5	2659.3
285.92	2580
287.34	2508.6
288.75	2354.5
290.17	2171.8
291.59	2013.7
293.01	1787.7
294.42	1639.2
295.84	1499.4
297.26	1373.8
298.68	1275.8
300.09	1217.8
301.51	1196.6
302.93	1168.9
304.35	1178.5
305.76	1209
307.18	1256
308.6	1351.1
310.02	1467.3
311.44	1470.9
312.85	1505.9
314.27	1582
315.69	1647.3
317.11	1653.6
318.52	1651.8
319.94	1618.8
321.36	1593.5
322.78	1552.2
324.19	1435.1
325.61	1298.6
327.03	1193.8
328.45	1132
329.86	1069.5
331.28	1022.8
332.7	1085.2
334.12	1030.1
335.54	1033.8
336.95	1050.4
338.37	1061.5
339.79	1068.1
341.21	1091.2
342.62	1149.9
344.04	1137.9
345.46	1185.7
346.88	1270.2
348.29	1321.2
349.71	1427.5
351.13	1586.2
352.55	1828.8
353.96	2116.6
355.38	2470.4
356.8	2934.6
358.22	3387
359.64	3698.6
361.05	4046.1
362.47	4330.3
363.89	4482.3
365.31	4517.4
366.72	4382.4
368.14	4251.6
369.56	3852.9
370.98	3325
372.39	2798.7
373.81	2239.9
375.23	1740.2
376.65	1464.3
378.06	1273.7
379.48	1127.6
380.9	1028.2
382.32	998.69
383.74	1012.2
385.15	946.86
386.57	919.92
387.99	929.81
389.41	939.7
390.82	949.58
392.24	957.06
393.66	917.16
395.08	906.63
396.49	944.91
397.91	1006.9
399.33	1035.1
400.75	1113.7
402.16	1150.4
403.58	1230.2
405	1352
406.42	1486.1
407.84	1663.5
409.25	1912.6
410.67	2144.8
412.09	2330.9
413.51	2515.1
414.92	2720.6
416.34	2800.6
417.76	2889
419.18	2890.5
420.59	2844.6
422.01	2747.5
423.43	2593
424.85	2442.4
426.27	2338.6
427.68	2322
429.1	2378.3
430.52	2489.9
431.94	2635.4
433.35	2787.1
434.77	3006.9
436.19	3085.6
437.61	3148.6
439.02	3156
440.44	3041.4
441.86	2870.9
443.28	2741.9
444.69	2461.6
446.11	2142.9
447.53	1844.6
448.95	1609.1
450.37	1485.6
451.78	1303.2
453.2	1163.6
454.62	1114.3
456.04	1103.9
457.45	1080.6
458.87	1048.9
460.29	998.31
461.71	1033.7
463.12	1038.2
464.54	999.98
465.96	968.64
467.38	1008.5
468.79	995.03
470.21	981.54
471.63	959.37
473.05	966.2
474.47	981.38
475.88	942.48
477.3	881.78
478.72	891.62
480.14	875.39
481.55	885.75
482.97	915.78
484.39	911.54
485.81	835.78
487.22	863.31
488.64	887.47
490.06	898.14
491.48	891.13
492.89	867.1
494.31	833.19
495.73	828.33
497.15	834.98
498.57	840.61
499.98	846.8
501.4	849.19
502.82	835.72
504.24	837.11
505.65	825.04
507.07	814.08
508.49	808.77
509.91	810.16
511.32	812.67
512.74	792.76
514.16	828.2
515.58	811.63
516.99	797.58
518.41	814.58
519.83	847.24
